Step,Value
50,0.026000001
100,0.038199998
150,0.037799999
200,0.0471
250,0.046300001
300,0.046999998
350,0.051899999
400,0.052499998
450,0.050999999
500,0.049400002
550,0.051600002
600,0.050099999
650,0.049899999
700,0.051199999
750,0.048500001
800,0.048500001
850,0.051100001
900,0.050000001
950,0.0546
1000,0.054000001
1050,0.052299999
1100,0.050799999
1150,0.052299999
1200,0.052999999
1250,0.054400001
1300,0.0559
1350,0.0568
1400,0.053199999
1450,0.053399999
1500,0.056200001
1550,0.053800002
1600,0.055100001
1650,0.053800002
1700,0.0535
1750,0.053300001
1800,0.054900002
1850,0.0539
1900,0.056600001
1950,0.0568
2000,0.0579
2050,0.0568
2100,0.0548
2150,0.056299999
2200,0.055199999
2250,0.0557
2300,0.0524
2350,0.057799999
2400,0.0528
2450,0.0557
2500,0.0524
2550,0.051100001
2600,0.0524
2650,0.054200001
2700,0.052499998
2750,0.051600002
2800,0.054000001
2850,0.057
2900,0.057
2950,0.054900002
3000,0.058699999
3050,0.057700001
3100,0.0535
3150,0.058200002
3200,0.055
3250,0.056400001
3300,0.058800001
3350,0.0557
3400,0.0559
3450,0.056899998
3500,0.056299999
3550,0.056400001
3600,0.0579
3650,0.061700001
