modelo;rouge1;rouge2;rougeL;chrf;bleu;precision;recall;f1
pegasus-large;0,0831459035984519;0,024224989031667414;0,08172238813715083;13,610699223915073;0,0;0,7977809906005859;0,8193846344947815;0,8079778552055359
pegasus-large fine tuning;0,17084981509410346;0,07323663448443764;0,16900155595234692;18,007958842729394;0,11151640970173891;0,8427137732505798;0,8436894416809082;0,8423989415168762
