modelo;rouge1;rouge2;rougeL;chrf;bleu;precision;recall;f1
bart-base;0,08127988004965155;0,024901665411331497;0,08039757059967954;13,058083148942275;0,0;0,8037786483764648;0,8203631043434143;0,8114959001541138
bart-base fine tuning;0,13221126169280822;0,04239266884258097;0,13125145699838137;14,465888579444137;0,07379327825138275;0,8438923954963684;0,8387083411216736;0,8403686881065369
