modelo;rouge1;rouge2;rougeL;chrf;bleu;precision;recall;f1
t5-base;0,07865222065573556;0,024845999538442423;0,07775970368237498;12,832501252252602;0,0;0,7944079637527466;0,8175359964370728;0,8053391575813293
t5-base fine tuning;0,17537266970483154;0,056296900716935855;0,17414795710050546;16,672851031542073;0,08422252188201208;0,8450175523757935;0,8416749238967896;0,8425098061561584
